url,product_name,price,description,error
https://www.tesco.com/groceries/en-GB/products/250037741,L'Oreal Paris Excellence Creme 9 Natural Light Blonde Permanent Hair Dye,10.0,L'Oreal Paris Excellence Creme 9 Natural Light Blonde Permanent Hair Dye,
https://www.tesco.com/groceries/en-GB/products/278170118,L'oreal Paris Revitalift Day Cream Spf30 50Ml,15.0,L'oreal Paris Revitalift Day Cream Spf30 50Ml. Anti-wrinkle & firming formula . Enriched with Pro-retinol A & Elasti-Flex. Advanced UVA protection,
https://www.tesco.com/groceries/en-GB/products/311226632,L'oreal Paris Revitalift Filler Eye Serum 20Ml,25.0,"L'OR/P REVLFT FILLER EYE SERUM 20ML . ©2020 Nielsen data, value sales, year to date w/e 11.07.21. For verification https://loreal-paris.co.uk/serumno1",
https://www.tesco.com/groceries/en-GB/products/250172735,L'Oreal Paris Excellence Creme 10 Natural Baby Blonde Permanent Hair Dye,10.0,L'Oreal Paris Excellence Creme 10 Natural Baby Blonde Permanent Hair Dye,
https://www.tesco.com/groceries/en-GB/products/316059476,L'Oreal Paris Bright Reveal UV Fluid SPF50 50ml,30.0,L'Oreal Paris Bright Reveal UV Fluid SPF50 50ml,
https://www.tesco.com/groceries/en-GB/products/297631410,L'oreal Paris Revitalift Laser Renew Cream Spf25 50Ml,30.0,L'oreal Paris Revitalift Laser Renew Cream Spf25 50Ml,
https://www.tesco.com/groceries/en-GB/products/274080381,L'Oreal Paris Elnett Shine Strong Hold 200ml,3.75,L'Oreal Paris Elnett Shine Strong Hold 200ml,
https://www.tesco.com/groceries/en-GB/products/311213440,L'Oreal Paris Excellence Universal Nudes 6U Dark Blonde Permanent Hair Dye,11.0,L'OREAL PARIS EXCEL UNIVERSAL NUDES DK BLONDE ,
https://www.tesco.com/groceries/en-GB/products/313731860,Lor/P Revitalift Pure 12% Vitamin C Serum 30Ml,16.0,Lor/P Revitalift Pure 12% Vitamin C Serum 30Ml,
https://www.tesco.com/groceries/en-GB/products/303675590,L’Oreal Men Expert Hydra. Energetic Face Wash 100Ml,4.5,L’Oreal Men Expert Hydra. Energetic Face Wash 100Ml,
https://www.tesco.com/groceries/en-GB/products/291301470,L'oreal Paris Wrinkle Expert Collagen Day Cream 50Ml,5.0,L'oreal Paris Wrinkle Expert Collagen Day Cream 50Ml,
https://www.tesco.com/groceries/en-GB/products/308103914,L'oreal Men Expert Total Clean Shower Gel 400Ml,2.25,L'OREAL MEN XPRT TOTAL CLEAN SHWR GEL 400ML ,
https://www.tesco.com/groceries/en-GB/products/250037326,L'Oreal Paris Excellence Creme 3 Natural Darkest Brown Permanent Hair Dye,10.0,L'Oreal Paris Excellence Creme 3 Natural Darkest Brown Permanent Hair Dye,
https://www.tesco.com/groceries/en-GB/products/313756600,L'Oreal Paris Magic Retouch Permanent 3 Darkest Brown,10.0,L'OREAL MAGIC RETOUCH PERM 3 DARKEST BROWN ,
https://www.tesco.com/groceries/en-GB/products/314408257,L'Oreal Paris Casting Natural Gloss 223 Espresso Darkest Brown Semi-Permanent Hair Dye,11.0,L'Oreal Paris Casting Natural Gloss 223 Espresso Darkest Brown Semi-Permanent Hair Dye,
https://www.tesco.com/groceries/en-GB/products/250037522,L'Oreal Paris Excellence Creme 6 Natural Light Brown Permanent Hair Dye,10.0,L'Oreal Paris Excellence Creme 6 Natural Light Brown Permanent Hair Dye,
https://www.tesco.com/groceries/en-GB/products/272483535,L’Oreal Men Expert Roll-On Carbon Protect Deodorant 50Ml,2.35,"L’Oreal Men Expert Roll-On Carbon Protect Deodorant 50Ml. The power of Carbon Protect anti-perspirant roll-on deodorant . Fights against odour, white & yellow marks & protects against sweat. 50ml of 48-hour Total Protection ",
https://www.tesco.com/groceries/en-GB/products/313601634,L'oreal Elvive Hydra Hyaluronic Wonder Water Conditioner 200ml,6.0,L'oreal Elvive Hydra Hyaluronic Wonder Water Conditioner 200ml,
https://www.tesco.com/groceries/en-GB/products/291570478,L'Oreal Paris Magic Retouch Instant Root Concealer Spray Brown 75ml,7.0,L'Oreal Paris Magic Retouch Instant Root Concealer Spray Brown 75ml,
https://www.tesco.com/groceries/en-GB/products/313730106,L'oreal Men Expert Power Age Revitalising 24 Hour Moisturiser 50Ml,12.0,L'oreal Men Expert Power Age Revitalising 24 Hour Moisturiser 50Ml,
https://www.tesco.com/groceries/en-GB/products/265317888,L'oreal Paris Triple Active Day Cream Moisturiser 50Ml,4.5,"L'oreal Paris Triple Active Day Cream Moisturiser 50Ml. Revitalise & protect skin for an improved ability to retain water. Enriched with ceramide, Vitamin E & UV filters. Rich, non-greasy formula melts into skin for combination skin",
https://www.tesco.com/groceries/en-GB/products/314408997,L'Oreal Paris Magic Retouch Permanent 5 Brown,10.0,L'OREAL MAGIC RETOUCH PRMT 5 BROWN ,
https://www.tesco.com/groceries/en-GB/products/291570530,L'Oreal Paris Magic Retouch Instant Root Concealer Spray Dark Blonde 75ml,7.0,L'Oreal Paris Magic Retouch Instant Root Concealer Spray Dark Blonde 75ml,
https://www.tesco.com/groceries/en-GB/products/258198491,L'Oreal Paris Preference 8 California Light Blonde Permanent Hair Dye,12.0,L'Oreal Paris Preference 8 California Light Blonde Permanent Hair Dye,
https://www.tesco.com/groceries/en-GB/products/308098907,L’Oreal Men Expert Hydra. Energetic Shower Gel 400Ml,2.25,L’Oreal Men Expert Hydra. Energetic Shower Gel 400Ml,
https://www.tesco.com/groceries/en-GB/products/299154020,L’Oreal Men Expert Barberclub Beard & Face Wash 200Ml,7.5,L’Oreal Men Expert Barberclub Beard & Face Wash 200Ml,
